Kepler-1184 b,Not A Binary,,0.239,53.5991044,,,,,Kepler-1184,,1.05,1.07,5983,,Confirmed planets
Kepler-1552 b,Not A Binary,,0.22,184.771853,,,,,Kepler-1552,,0.85,0.78,5202,,Confirmed planets
Kepler-1279 b,Not A Binary,,0.156,23.4774101,,,,,Kepler-1279,,1.21,1.33,6221,,Confirmed planets
Kepler-483 b,Not A Binary,,0.286,30.229104,,,,,Kepler-483,,1.28,1.47,6346,,Confirmed planets
HD 126614 A b,S-type Binary,0.38,,1244,2.35,0.41,,,HD 126614,72.6,1.145,1.09,5585,7.2,"Confirmed planets, Planets in binary systems, S-type"
Kepler-46 b,Not A Binary,,0.65705,33.601528,0.1968,0.01,543,,Kepler-46,855,0.82,0.79,5309,,Confirmed planets
Kepler-46 c,Not A Binary,0.376,,57.011,0.2799,0.015,455,,Kepler-46,855,0.82,0.79,5309,,Confirmed planets
Kepler-46 d,Not A Binary,,0.14945,6.766589,0.067,,793,,Kepler-46,855,0.82,0.79,5309,,Confirmed planets
Kepler-289 b,Not A Binary,0.023,0.192,34.545,0.21,,,,Kepler-289,700,1.08,1,5990,,Confirmed planets
PH3 c,Not A Binary,0.013,0.239,66.0634,0.33,,,,Kepler-289,700,1.08,1,5990,,Confirmed planets
Kepler-289 c,Not A Binary,0.415,1.034,125.8518,0.51,,,,Kepler-289,700,1.08,1,5990,,Confirmed planets
Kepler-747 b,Not A Binary,,0.47,35.61760587,,,,,Kepler-747,,0.82,0.78,5096,,Confirmed planets
Kepler-5 b,Not A Binary,2.114,1.431,3.54846,0.05064,0,1652.1,,Kepler-5,,1.374,1.793,6297,,Confirmed planets
Kepler-1035 b,Not A Binary,,0.104,2.71407755,,,,,Kepler-1035,,0.98,0.97,5763,,Confirmed planets
HD 75289 A b,S-type Binary,0.42,,3.5098,0.046,0.024,,,HD 75289,28.94,1.05,1.25,,,"Confirmed planets, Planets in binary systems, S-type"
HD 163607 b,Not A Binary,0.77,,75.229,0.36,0.73,499.8,,HD 163607,69,1.09,1.63,5543,,Confirmed planets
HD 163607 c,Not A Binary,2.29,,1314,2.42,0.12,200.4,,HD 163607,69,1.09,1.63,5543,,Confirmed planets
Kepler-482 b,Not A Binary,,0.211,56.35418576,,,,,Kepler-482,,0.75,0.72,4871,,Confirmed planets
Kepler-1522 b,Not A Binary,,0.154,1.84788917,,,,,Kepler-1522,,0.96,0.93,5706,,Confirmed planets
Kepler-1363 b,Not A Binary,,0.112,2.94194094,,,,,Kepler-1363,,0.76,0.72,4839,,Confirmed planets
Kepler-268 b,Not A Binary,,0.23238,25.934138,,,,,Kepler-268,875.31,1.13,1.274,6081,,Confirmed planets
Kepler-268 c,Not A Binary,,0.30802,83.446393,,,,,Kepler-268,875.31,1.13,1.274,6081,,Confirmed planets
Kepler-582 b,Not A Binary,,0.328,18.49235668,,,,,Kepler-582,,0.93,0.91,5564,,Confirmed planets
Kepler-1511 b,Not A Binary,,0.15,23.2382792,,,,,Kepler-1511,,1.17,1.29,6064,,Confirmed planets
HD 12648 b,Not A Binary,2.9,,133.6,0.54,0.04,,,HD 12648,158.4,1.2,9.2,4835.8,,Confirmed planets
HAT-P-35 b,Not A Binary,1.054,1.332,3.6467,0.0498,0.025,1442.8,,HAT-P-35,535,1.236,1.435,6096,,Confirmed planets
Kepler-625 b,Not A Binary,,0.178,7.75192492,,,,,Kepler-625,,1.04,0.96,5789,,Confirmed planets
Kepler-625 c,Not A Binary,,0.094,4.1653651,,,,,Kepler-625,,1.04,0.96,5789,,Confirmed planets
Kepler-1570 b,Not A Binary,,0.095,26.548955,,,,,Kepler-1570,,0.92,0.89,5550,,Confirmed planets
HD 131399 Ab,S-type Binary,4,,200883.21,80,0.35,850,,HD 131399,,1.82,,9300,,"Confirmed planets, Planets in binary systems, S-type"
Kepler-13 A b,S-type Binary,9.28,1.51,1.76358799,0.03423,,2750,,Kepler-13,530,1.72,1.74,7650,0.708,"Confirmed planets, Planets in binary systems, S-type"
Kepler-640 b,Not A Binary,,0.228,22.24813967,,,,,Kepler-640,,1.01,0.94,5653,,Confirmed planets
HD 102956 b,Not A Binary,0.96,,6.495,0.081,0.048,1642.2,,HD 102956,126,1.68,4.4,5054,,Confirmed planets
Kepler-351 c,Not A Binary,,0.29071,57.24809,,,,,Kepler-351,1448.51,,0.854,5643,,Confirmed planets
Kepler-351 b,Not A Binary,,0.27886,37.054919,,,,,Kepler-351,1448.51,,0.854,5643,,Confirmed planets
Kepler-351 d,Not A Binary,,0.243,142.544247,,,,,Kepler-351,1448.51,,0.854,5643,,Confirmed planets
Kepler-284 b,Not A Binary,,0.20413,12.699149,,,,,Kepler-284,1266.39,0.923,0.814,5615,,Confirmed planets
Kepler-284 c,Not A Binary,,0.23785,37.514456,,,,,Kepler-284,1266.39,0.923,0.814,5615,,Confirmed planets
Kepler-976 b,Not A Binary,,0.353,105.9564148,,,,,Kepler-976,,0.87,0.83,5232,,Confirmed planets
Kepler-995 b,Not A Binary,,0.241,28.26731672,,,,,Kepler-995,,0.83,0.8,5206,,Confirmed planets
HD 59686 b,Not A Binary,5.25,,303,0.911,,728.2,,HD 59686,92,,11.62,5150,,Confirmed planets
HD 33142 b,Not A Binary,1.3,,326.6,1.06,0,442.1,,HD 33142,126,1.48,4.2,5052,,Confirmed planets
Kepler-987 b,Not A Binary,,0.291,105.3033148,,,,,Kepler-987,,0.97,0.91,5637,,Confirmed planets
Kepler-1156 b,Not A Binary,,0.118,11.89520511,,,,,Kepler-1156,,1,1,5778,,Confirmed planets
Kepler-382 b,Not A Binary,,0.12029,5.262155,,,,,Kepler-382,841.11,0.874,0.945,5600,,Confirmed planets
Kepler-382 c,Not A Binary,,0.1449,12.162701,,,,,Kepler-382,841.11,0.874,0.945,5600,,Confirmed planets
OGLE-TR-211 b,Not A Binary,0.75,1.26,3.67724,0.051,0,1581.5,,OGLE-TR-211,,1.33,1.64,6325,,Confirmed planets
Kepler-780 b,Not A Binary,,0.079,0.67737516,,,,,Kepler-780,,1.01,1.02,5769,,Confirmed planets
Kepler-547 b,Not A Binary,,0.357,6.01038429,,,,,Kepler-547,,0.78,0.73,4828,,Confirmed planets
HD 187085 b,Not A Binary,0.75,,986,2.05,0.47,215.5,,HD 187085,44.98,1.22,,6075,,Confirmed planets
Omega Serpentis b,Not A Binary,1.7,,277.02,1.1,0.106,,,Omega Serpentis,83.8,2.17,12.3,4770,,Confirmed planets
HD 95127 b,Not A Binary,5.01,,482,1.28,0.11,,,HD 95127,327,1.2,20,4218,5.5,Confirmed planets
HD 192699 b,Not A Binary,2.4,,345.53,1.32,0.129,,,HD 192699,65.6,1.69,3.9,5220,,Confirmed planets
WASP-64 b,Not A Binary,1.271,1.271,1.57329,0.02648,0,1689,,WASP-64,350,0.98,1.03,5400,,Confirmed planets
Kepler-1352 b,Not A Binary,,0.079,1.87788275,,,,,Kepler-1352,,1.11,1.16,6118,,Confirmed planets
